"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Ciliata","Ciliata mustela","Ciliata mustela","fish","fish","Fish"," 126448","Species"
"Chromista","Myzozoa","Dinophyceae","Suessiales","Symbiodiniaceae","Cladocopium","Cladocopium infistulum","Cladocopium infistulum","nanoplankton","Other","Plankton","1699472","Species"
"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides","Cladosporium cladosporioides",NA,NA,NA,"1415554","Species"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Clupea harengus","fish","fish","Fish"," 126417","Species"
"Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba oenas","Columba oenas",NA,NA,NA," 558545","Species"
"Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Coryphoblennius","Coryphoblennius galerita","Coryphoblennius galerita","fish","fish","Fish"," 126762","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Coscinodiscales","Coscinodiscaceae","Coscinodiscus","Coscinodiscus granii","Coscinodiscus granii","phytoplankton","Other","Plankton"," 149271","Species"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Ctenolabrus","Ctenolabrus rupestris","Ctenolabrus rupestris","fish","fish","Fish"," 126964","Species"
"Animalia","Chordata","Teleostei","Perciformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","Cyclopterus lumpus","fish","fish","Fish"," 127214","Species"
"Plantae","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Cymbomonas","Cymbomonas tetramitiformis","Cymbomonas tetramitiformis","mixoplankton","Other","Plankton"," 134545","Species"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Dicentrarchus labrax","Dicentrarchus labrax","fish","fish","Fish"," 126975","Species"
"Chromista","Myzozoa","Dinophyceae","Dinophysales","Dinophysaceae","Dinophysis","Dinophysis","Dinophysis","phytoplankton","Other","Plankton"," 109462","Genus"
"Chromista","Myzozoa","Dinophyceae","Dinophysales","Dinophysaceae","Dinophysis","Dinophysis acuta","Dinophysis acuta","microplankton","Other","Plankton"," 109604","Species"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Dipturus","Dipturus","fish","fish","Fish"," 105762","Genus"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Emplectonematidae","Emplectonema","Emplectonema gracile","Emplectonema gracile","benthos","Macrobenthos","Macrobenthos"," 122710","Species"
"Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Entelurus","Entelurus aequoreus","Entelurus aequoreus","fish","fish","Fish"," 127379","Species"
"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Eutrigla","Eutrigla gurnardus","Eutrigla gurnardus","fish","fish","Fish"," 150637","Species"
"Chromista","Ochrophyta","Raphidophyceae","Chattonellales","Vacuolariaceae","Fibrocapsa","Fibrocapsa japonica","Fibrocapsa japonica","mixoplankton","Other","Plankton"," 233761","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","Gadus morhua","fish","fish","Fish"," 126436","Species"
"Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus","Gasterosteus","fish","fish","Fish"," 125775","Genus"
"Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","Gasterosteus aculeatus","fish","fish","Fish"," 126505","Species"
"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Gobius","Gobius paganellus","Gobius paganellus","fish","fish","Fish"," 126893","Species"
"Chromista","Cryptophyta","Goniomonadophyceae","Goniomonadales","Cyathomonadaceae","Goniomonas","Goniomonas avonlea","Goniomonas avonlea","phytoplankton","Other","Plankton","1371601","Species"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Gymnammodytes","Gymnammodytes semisquamatus","Gymnammodytes semisquamatus","fish","fish","Fish"," 126754","Species"
"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Haematopus","Haematopus","Haematopus",NA,NA,NA," 147435","Genus"
"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus","Halichoerus grypus","nekton","Other","Nekton"," 137080","Species"
"Chromista","Cryptophyta","Cryptophyceae","Cryptophyceae incertae sedis",NA,"Hemiarma","Hemiarma marina","Hemiarma marina","algae","Other","Plankton","1361130","Species"
"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Chroomonadaceae","Hemiselmis","Hemiselmis andersenii","Hemiselmis andersenii","phytoplankton","Other","Plankton"," 623449","Species"
"Chromista","Myzozoa","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa rotundata","Heterocapsa rotundata","microplankton","Other","Plankton"," 110152","Species"
"Chromista","Ochrophyta","Raphidophyceae","Chattonellales","Chattonellaceae","Heterosigma","Heterosigma akashiwo","Heterosigma akashiwo","mixoplankton","Other","Plankton"," 160585","Species"
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens","nekton","Other","Nekton","1455977","Species"
"Animalia","Nemertea","Pilidiophora","Hubrechtiiformes","Hubrechtellidae","Hubrechtella","Hubrechtella dubia","Hubrechtella dubia","benthos","Macrobenthos","Macrobenthos"," 122607","Species"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Hyperoplus","Hyperoplus immaculatus","Hyperoplus immaculatus","fish","fish","Fish"," 126755","Species"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Hyperoplus","Hyperoplus lanceolatus","Hyperoplus lanceolatus","fish","fish","Fish"," 126756","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Kareniaceae","Karenia","Karenia","Karenia","phytoplankton","Other","Plankton"," 231788","Genus"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Labrus","Labrus bergylta","Labrus bergylta","fish","fish","Fish"," 126965","Species"
"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus","Larus",NA,NA,NA," 137043","Genus"
"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus canus","Larus canus",NA,NA,NA," 137141","Species"
"Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Lepadogaster","Lepadogaster purpurea","Lepadogaster purpurea","fish","fish","Fish"," 126519","Species"
"Chromista","Cryptophyta","Cryptophyta incertae sedis",NA,"Katablepharidaceae","Leucocryptos","Leucocryptos marina","Leucocryptos marina","zooplankton","Other","Plankton"," 119077","Species"
"Chromista","Myzozoa","Dinophyceae","Dinophyceae incertae sedis",NA,"Levanderina","Levanderina fissa","Levanderina fissa","mixoplankton","Other","Plankton"," 840689","Species"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda limanda","Limanda limanda","fish","fish","Fish"," 127139","Species"
"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Lineus","Lineus","Lineus","benthos","Macrobenthos","Macrobenthos"," 122358","Genus"
"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Lineus","Lineus ruber","Lineus ruber","benthos","Macrobenthos","Macrobenthos"," 122536","Species"
"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Lineus","Lineus viridis","Lineus viridis","benthos","Macrobenthos","Macrobenthos"," 122543","Species"
"Animalia","Chordata","Teleostei","Perciformes","Liparidae","Liparis","Liparis montagui","Liparis montagui","fish","fish","Fish"," 127220","Species"
"Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Lipophrys","Lipophrys pholis","Lipophrys pholis","fish","fish","Fish"," 126768","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Margalefidinium","Margalefidinium polykrikoides","Margalefidinium polykrikoides","mixoplankton","Other","Plankton"," 990876","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Melosirales","Melosiraceae","Melosira","Melosira varians","Melosira varians","phytoplankton","Other","Plankton"," 149043","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Merlangius merlangus","fish","fish","Fish"," 126438","Species"
"Plantae","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas pusilla","Micromonas pusilla","mixoplankton","Other","Plankton"," 134564","Species"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","Microstomus kitt","fish","fish","Fish"," 127140","Species"
"Protozoa","Choanozoa","Filasterea","Ministeriida",NA,"Ministeria","Ministeria vibrans","Ministeria vibrans",NA,NA,NA," 118061","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Molva","Molva molva","Molva molva","fish","fish","Fish"," 126461","Species"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus","Myoxocephalus","fish","fish","Fish"," 126152","Genus"
"Animalia","Chordata","Teleostei","Syngnathiformes","Syngnathidae","Nerophis","Nerophis lumbriciformis","Nerophis lumbriciformis","fish","fish","Fish"," 127383","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia frustulum","Nitzschia frustulum","benthos","Macrobenthos","Macrobenthos"," 175404","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia longissima","Nitzschia longissima","phytoplankton","Other","Plankton"," 149150","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia palea","Nitzschia palea","phytoplankton","Other","Plankton"," 149601","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia putrida","Nitzschia putrida","phytoplankton","Other","Plankton"," 624445","Species"
"Animalia","Xenacoelomorpha",NA,"Acoela","Dakuidae","Notocelis","Notocelis gullmarensis","Notocelis gullmarensis","macrobenthos","Macrobenthos","Macrobenthos"," 142698","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Nusuttodinium","Nusuttodinium","Nusuttodinium","nanoplankton","Other","Plankton"," 836674","Genus"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Oerstediidae","Oerstedia","Oerstedia dorsalis","Oerstedia dorsalis","benthos","Macrobenthos","Macrobenthos"," 122817","Species"
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis","Ovis","nekton","Other","Nekton"," 993625","Genus"
"Chromista","Myzozoa","Dinophyceae","Oxyrrhinales","Oxyrrhinaceae","Oxyrrhis","Oxyrrhis marina","Oxyrrhis marina","microplankton","Other","Plankton"," 109902","Species"
"Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Parablennius","Parablennius gattorugine","Parablennius gattorugine","fish","fish","Fish"," 126770","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Paraliales","Paraliaceae","Paralia","Paralia sulcata","Paralia sulcata","benthos","Macrobenthos","Macrobenthos"," 149055","Species"
"Protozoa","Amoebozoa","Discosea","Himatismenida","Himatismenida incertae sedis","Parvamoeba","Parvamoeba rugata","Parvamoeba rugata",NA,NA,NA," 120633","Species"
"Chromista","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Pelagomonas","Pelagomonas calceolata","Pelagomonas calceolata","phytoplankton","Other","Plankton"," 345504","Species"
"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Penicillium sclerotiorum","Penicillium sclerotiorum",NA,NA,NA,"1487061","Species"
"Chromista","Myzozoa","Dinophyceae","Thoracosphaerales","Pfiesteriaceae","Pfiesteria","Pfiesteria shumwayae","Pfiesteria shumwayae","nanoplankton","Other","Plankton"," 246599","Species"
"Chromista","Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa","Phaeocystis globosa","phytoplankton","Other","Plankton"," 160538","Species"
"Chromista","Haptophyta","Coccolithophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis pouchetii","Phaeocystis pouchetii","phytoplankton","Other","Plankton"," 115106","Species"
"Chromista","Myzozoa","Dinophyceae","Dinophysales","Oxyphysaceae","Phalacroma","Phalacroma rotundatum","Phalacroma rotundatum","microplankton","Other","Plankton"," 156505","Species"
"Animalia","Rotifera","Eurotatoria","Philodinida","Philodinidae","Philodina","Philodina citrina","Philodina citrina","microbenthos","Other","Microbenthos","1795998","Species"
"Animalia","Rotifera","Eurotatoria","Philodinida","Philodinidae","Philodina","Philodina roseola","Philodina roseola","microbenthos","Other","Microbenthos"," 247966","Species"
"Chromista","Myzozoa","Dinophyceae","Suessiales","Symbiodiniaceae","Philozoon","Philozoon","Philozoon","nanoplankton","Other","Plankton"," 604432","Genus"
"Chromista","Oomycota","Peronosporea","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora","Phytophthora",NA,NA,NA,"1457131","Genus"
"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","Plantago major","Plantago major",NA,NA,NA,"1492339","Species"
"Chromista","Myzozoa","Dinophyceae","Suessiales","Suessiaceae","Polarella","Polarella glacialis","Polarella glacialis","nanoplankton","Other","Plankton"," 232248","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius pollachius","Pollachius pollachius","fish","fish","Fish"," 126440","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","fish","fish","Fish"," 126441","Species"
"Animalia","Rotifera","Eurotatoria","Ploima","Synchaetidae","Polyarthra","Polyarthra vulgaris","Polyarthra vulgaris","zooplankton","Other","Plankton"," 135044","Species"
"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","Pomatoschistus minutus","fish","fish","Fish"," 126928","Species"
"Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus pictus","Pomatoschistus pictus","fish","fish","Fish"," 126930","Species"
"Chromista","Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum","Prorocentrum","phytoplankton","Other","Plankton"," 109566","Genus"
"Chromista","Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum fukuyoi","Prorocentrum fukuyoi","microbenthos","Other","Microbenthos"," 624457","Species"
"Chromista","Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum lima","Prorocentrum lima","microplankton","Other","Plankton"," 110301","Species"
"Chromista","Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum triestinum","Prorocentrum triestinum","microplankton","Other","Plankton"," 110316","Species"
"Chromista","Myzozoa","Dinoflagellata incertae sedis",NA,NA,"Protodinium","Protodinium simplex","Protodinium simplex","microplankton","Other","Plankton"," 663583","Species"
"Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus puffinus","Puffinus puffinus",NA,NA,NA," 137203","Species"
"Plantae","Chlorophyta","Pyramimonadophyceae","Pseudoscourfieldiales","Pycnococcaceae","Pycnococcus","Pycnococcus provasolii","Pycnococcus provasolii","phytoplankton","Other","Plankton"," 376073","Species"
"Plantae","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas parkeae","Pyramimonas parkeae","mixoplankton","Other","Plankton"," 495287","Species"
"Chromista","Oomycota","Peronosporea","Pythiales","Pythiaceae","Pythium","Pythium","Pythium",NA,NA,NA," 172180","Genus"
"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja brachyura","Raja brachyura","fish","fish","Fish"," 367297","Species"
"Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Rattus norvegicus","nekton","Other","Nekton"," 993634","Species"
"Chromista","Cryptophyta","Cryptophyceae","Pyrenomonadales","Pyrenomonadaceae","Rhodomonas","Rhodomonas salina","Rhodomonas salina","phytoplankton","Other","Plankton"," 106316","Species"
"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolales incertae sedis","Rhodotorula","Rhodotorula mucilaginosa","Rhodotorula mucilaginosa",NA,NA,NA," 987149","Species"
"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Riparia","Riparia riparia","Riparia riparia",NA,NA,NA," 225984","Species"
"Animalia","Chordata","Aves","Charadriiformes","Laridae","Rissa","Rissa tridactyla","Rissa tridactyla",NA,NA,NA," 137156","Species"
"Animalia","Rotifera","Eurotatoria","Philodinida","Philodinidae","Rotaria","Rotaria rotatoria","Rotaria rotatoria","microbenthos","Other","Microbenthos"," 431954","Species"
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo","Salmo","fish","fish","Fish"," 126141","Genus"
"Chromista","Foraminifera","Nodosariata","Vaginulinida","Vaginulinidae","Saracenaria","Saracenaria","Saracenaria","meiobenthos","Macrobenthos","Macrobenthos"," 112288","Genus"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Sardina","Sardina pilchardus","Sardina pilchardus","fish","fish","Fish"," 126421","Species"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomber","Scomber scombrus","Scomber scombrus","fish","fish","Fish"," 127023","Species"
"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Siphonenteron","Siphonenteron bilineatum","Siphonenteron bilineatum","benthos","Macrobenthos","Macrobenthos"," 177726","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Thalassiosirales","Skeletonemaceae","Skeletonema","Skeletonema","Skeletonema","phytoplankton","Other","Plankton"," 149073","Genus"
"Animalia","Chordata","Teleostei","Perciformes","Gasterosteidae","Spinachia","Spinachia spinachia","Spinachia spinachia","fish","fish","Fish"," 126508","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Spiniferodinium","Spiniferodinium galeiforme","Spiniferodinium galeiforme","mixoplankton","Other","Plankton"," 573781","Species"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus","fish","fish","Fish"," 126425","Species"
"Protozoa","Amoebozoa","Discosea","Dactylopodida","Dactylopodida incertae sedis","Squamamoeba","Squamamoeba japonica","Squamamoeba japonica",NA,NA,NA," 761218","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Melosirales","Stephanopyxidaceae","Stephanopyxis","Stephanopyxis turris","Stephanopyxis turris","phytoplankton","Other","Plankton"," 149631","Species"
"Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius","Stercorarius",NA,NA,NA," 137051","Genus"
"Animalia","Chordata","Aves","Passeriformes","Sturnidae","Sturnus","Sturnus","Sturnus",NA,NA,NA," 558590","Genus"
"Chromista","Myzozoa","Dinophyceae","Suessiales","Symbiodiniaceae","Symbiodinium","Symbiodinium goreaui","Symbiodinium goreaui",NA,NA,NA," 620413","Species"
"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Symphodus","Symphodus","Symphodus","fish","fish","Fish"," 126023","Genus"
"Animalia","Rotifera","Eurotatoria","Ploima","Synchaetidae","Synchaeta","Synchaeta triophthalma","Synchaeta triophthalma","zooplankton","Other","Plankton"," 135066","Species"
"Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Brachidiniaceae","Takayama","Takayama acrotrocha","Takayama acrotrocha","microplankton","Other","Plankton"," 619839","Species"
"Animalia","Chordata","Teleostei","Perciformes","Cottidae","Taurulus","Taurulus bubalis","Taurulus bubalis","fish","fish","Fish"," 127204","Species"
"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Tenuilineus","Tenuilineus albocinctus","Tenuilineus albocinctus","benthos","Macrobenthos","Macrobenthos"," 122573","Species"
"Animalia","Rotifera","Eurotatoria","Flosculariaceae","Testudinellidae","Testudinella","Testudinella clypeata","Testudinella clypeata","benthos","Macrobenthos","Macrobenthos"," 134974","Species"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales incertae sedis","Tetracladium","Tetracladium marchalianum","Tetracladium marchalianum",NA,NA,NA," 100553","Species"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Tetrastemmatidae","Tetrastemma","Tetrastemma candidum","Tetrastemma candidum","benthos","Macrobenthos","Macrobenthos"," 122764","Species"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Tetrastemmatidae","Tetrastemma","Tetrastemma flavidum","Tetrastemma flavidum","benthos","Macrobenthos","Macrobenthos"," 122773","Species"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Tetrastemmatidae","Tetrastemma","Tetrastemma melanocephalum","Tetrastemma melanocephalum","benthos","Macrobenthos","Macrobenthos"," 122791","Species"
"Animalia","Nemertea","Hoplonemertea","Monostilifera","Tetrastemmatidae","Tetrastemma","Tetrastemma vermiculus","Tetrastemma vermiculus","benthos","Macrobenthos","Macrobenthos"," 122806","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Thalassionematales","Thalassionemataceae","Thalassionema","Thalassionema nitzschioides","Thalassionema nitzschioides","benthos","Macrobenthos","Macrobenthos"," 149093","Species"
"Chromista","Heterokontophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","phytoplankton","Other","Plankton"," 148931","Species"
"Chromista","Myzozoa","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Thoracosphaera","Thoracosphaera heimii","Thoracosphaera heimii","microplankton","Other","Plankton"," 110277","Species"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma","Trichoderma",NA,NA,NA," 100248","Genus"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Trisopterus esmarkii","fish","fish","Fish"," 126444","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus luscus","Trisopterus luscus","fish","fish","Fish"," 126445","Species"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","Trisopterus minutus","fish","fish","Fish"," 126446","Species"
"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Uria aalge",NA,NA,NA," 137133","Species"
"Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis","Xenopus laevis","nekton","Other","Nekton","1476278","Species"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","Zoarces viviparus","fish","fish","Fish"," 127123","Species"
