"kingdom","phylum","class","order","family","genus","valid_name","scientificname","adult","adult_simple","adult_tidy","valid_AphiaID","rank"
"Animalia","Annelida","Clitellata","Tubificida","Naididae","Aktedrilus","Aktedrilus arcticus","Aktedrilus arcticus","benthos","Macrobenthos","Macrobenthos"," 137502","Species"
"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","Alaria","Alaria","macroalgae","Macroalgae","Macroalgae"," 144194","Genus"
"Animalia","Cnidaria","Octocorallia","Malacalcyonacea","Alcyoniidae","Alcyonium","Alcyonium","Alcyonium","megabenthos","Macrobenthos","Macrobenthos"," 125284","Genus"
"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta virens","Alitta virens","megabenthos","Macrobenthos","Macrobenthos"," 234851","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia citrina","Amathia citrina","macrobenthos","Macrobenthos","Macrobenthos"," 851584","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia gracilis","Amathia gracilis","macrobenthos","Macrobenthos","Macrobenthos"," 851589","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia imbricata","Amathia imbricata","macrobenthos","Macrobenthos","Macrobenthos"," 851593","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia lendigera","Amathia lendigera","macrobenthos","Macrobenthos","Macrobenthos"," 111659","Species"
"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia pustulosa","Amathia pustulosa","macrobenthos","Macrobenthos","Macrobenthos"," 851599","Species"
"Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Amblyosyllis","Amblyosyllis spectabilis","Amblyosyllis spectabilis","macrobenthos","Macrobenthos","Macrobenthos","1258721","Species"
"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Ameronothridae","Ameronothrus","Ameronothrus maculatus","Ameronothrus maculatus",NA,NA,NA," 508290","Species"
"Animalia","Arthropoda","Copepoda","Harpacticoida","Miraciidae","Amphiascopsis","Amphiascopsis cinctus","Amphiascopsis cinctus","meiobenthos","Macrobenthos","Macrobenthos"," 115906","Species"
"Animalia","Annelida","Clitellata","Tubificida","Naididae","Amphichaeta","Amphichaeta sannio","Amphichaeta sannio","meiobenthos","Macrobenthos","Macrobenthos"," 137477","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Amphinema","Amphinema dinema","Amphinema dinema",NA,NA,NA," 117778","Species"
"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata","Amphipholis squamata","macrobenthos","Macrobenthos","Macrobenthos"," 125064","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Amphitholina","Amphitholina cuniculus","Amphitholina cuniculus","macrobenthos","Macrobenthos","Macrobenthos"," 101992","Species"
"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiura","Amphiura filiformis","Amphiura filiformis","macrobenthos","Macrobenthos","Macrobenthos"," 125080","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe rubricata","Ampithoe rubricata","macrobenthos","Macrobenthos","Macrobenthos"," 102002","Species"
"Animalia","Mollusca","Gastropoda","Nudibranchia","Goniodorididae","Ancula","Ancula gibbosa","Ancula gibbosa","benthos","Macrobenthos","Macrobenthos"," 140029","Species"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Halopterididae","Antennella","Antennella secundaria","Antennella secundaria",NA,NA,NA," 117628","Species"
"Animalia","Arthropoda","Hexapoda",NA,"Neanuridae","Anurida","Anurida maritima","Anurida maritima",NA,NA,NA," 118139","Species"
"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides oxycephala","Aonides oxycephala","macrobenthos","Macrobenthos","Macrobenthos"," 131106","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Aora","Aora gracilis","Aora gracilis","macrobenthos","Macrobenthos","Macrobenthos"," 102012","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Apherusa jurinei","Apherusa jurinei","macrobenthos","Macrobenthos","Macrobenthos"," 102168","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Apoglossum","Apoglossum ruscifolium","Apoglossum ruscifolium","macroalgae","Macroalgae","Macroalgae"," 144737","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Apohyale","Apohyale perieri","Apohyale perieri","macrobenthos","Macrobenthos","Macrobenthos"," 236509","Species"
"Animalia","Annelida","Polychaeta",NA,"Arenicolidae","Arenicola","Arenicola marina","Arenicola marina","benthos","Macrobenthos","Macrobenthos"," 129868","Species"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion","Arion",NA,NA,NA," 818149","Genus"
"Animalia","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion hortensis","Arion hortensis",NA,NA,NA," 819962","Species"
"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia ahodori","Ascidia ahodori","macrobenthos","Macrobenthos","Macrobenthos"," 249965","Species"
"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Ascidiella scabra","Ascidiella scabra","macrobenthos","Macrobenthos","Macrobenthos"," 103719","Species"
"Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Ascophyllum","Ascophyllum nodosum","Ascophyllum nodosum","macroalgae","Macroalgae","Macroalgae"," 145541","Species"
"Plantae","Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Asparagopsis","Asparagopsis armata","Asparagopsis armata","macroalgae","Macroalgae","Macroalgae"," 144438","Species"
"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","Asterias rubens","benthos","Macrobenthos","Macrobenthos"," 123776","Species"
"Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Asterina","Asterina gibbosa","Asterina gibbosa","benthos","Macrobenthos","Macrobenthos"," 123987","Species"
"Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Asterina","Asterina phylactica","Asterina phylactica","benthos","Macrobenthos","Macrobenthos"," 123990","Species"
"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten irregularis","Astropecten irregularis","benthos","Macrobenthos","Macrobenthos"," 123867","Species"
"Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Athelges","Athelges paguri","Athelges paguri","macrobenthos","Macrobenthos","Macrobenthos"," 118196","Species"
"Plantae","Rhodophyta","Florideophyceae","Acrochaetiales","Audouinellaceae","Audouinella","Audouinella hermannii","Audouinella hermannii","macroalgae","Macroalgae","Macroalgae"," 162880","Species"
"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita","Aurelia aurita","zooplankton","Other","Plankton"," 135306","Species"
"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia solida","Aurelia solida","zooplankton","Other","Plankton"," 287214","Species"
"Chromista","Ochrophyta","Pelagophyceae","Pelagomonadales","Pelagomonadaceae","Aureococcus","Aureococcus anophagefferens","Aureococcus anophagefferens","algae","Other","Plankton"," 375699","Species"
"Animalia","Arthropoda","Thecostraca","Balanomorpha","Elminiidae","Austrominius","Austrominius modestus","Austrominius modestus","benthos","Macrobenthos","Macrobenthos"," 712167","Species"
"Animalia","Arthropoda","Hexapoda","Ephemeroptera","Baetidae","Baetis","Baetis rhodani","Baetis rhodani",NA,NA,NA,"1714220","Species"
"Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Balanus","Balanus","Balanus","benthos","Macrobenthos","Macrobenthos"," 106122","Genus"
"Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Balanus","Balanus balanus","Balanus balanus","benthos","Macrobenthos","Macrobenthos"," 106213","Species"
"Animalia","Annelida","Clitellata","Tubificida","Naididae","Baltidrilus","Baltidrilus costatus","Baltidrilus costatus","macrobenthos","Macrobenthos","Macrobenthos"," 743898","Species"
"Plantae","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Bangia","Bangia fuscopurpurea","Bangia fuscopurpurea","macroalgae","Macroalgae","Macroalgae"," 157261","Species"
"Plantae","Rhodophyta","Florideophyceae","Batrachospermales","Batrachospermaceae","Batrachospermum","Batrachospermum gelatinosum","Batrachospermum gelatinosum","algae","Other","Plankton"," 503081","Species"
"Animalia","Mollusca","Gastropoda","Pleurobranchida","Pleurobranchidae","Berthella","Berthella plumula","Berthella plumula","benthos","Macrobenthos","Macrobenthos"," 140812","Species"
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Bicellariella","Bicellariella ciliata","Bicellariella ciliata","macrobenthos","Macrobenthos","Macrobenthos"," 111147","Species"
"Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Bifurcaria","Bifurcaria bifurcata","Bifurcaria bifurcata","macroalgae","Macroalgae","Macroalgae"," 145503","Species"
"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Boccardia","Boccardia polybranchia","Boccardia polybranchia","macrobenthos","Macrobenthos","Macrobenthos"," 131111","Species"
"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Boccardia","Boccardia proboscidea","Boccardia proboscidea","benthos","Macrobenthos","Macrobenthos"," 327249","Species"
"Plantae","Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Bonnemaisonia","Bonnemaisonia asparagoides","Bonnemaisonia asparagoides","macroalgae","Macroalgae","Macroalgae"," 144440","Species"
"Plantae","Rhodophyta","Florideophyceae","Bonnemaisoniales","Bonnemaisoniaceae","Bonnemaisonia","Bonnemaisonia hamifera","Bonnemaisonia hamifera","macroalgae","Macroalgae","Macroalgae"," 144442","Species"
"Plantae","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Boreophyllum","Boreophyllum","Boreophyllum","algae","Other","Plankton"," 593555","Genus"
"Plantae","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","Boreophyllum","Boreophyllum birdiae","Boreophyllum birdiae","algae","Other","Plankton"," 626025","Species"
"Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides leachii","Botrylloides leachii","macrobenthos","Macrobenthos","Macrobenthos"," 250081","Species"
"Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus","Botrylloides violaceus","macrobenthos","Macrobenthos","Macrobenthos"," 148715","Species"
"Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","Botryllus schlosseri","Botryllus schlosseri","macrobenthos","Macrobenthos","Macrobenthos"," 103862","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia muscus","Bougainvillia muscus",NA,NA,NA," 117328","Species"
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Bugulina","Bugulina fulva","Bugulina fulva","macrobenthos","Macrobenthos","Macrobenthos"," 834010","Species"
"Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus","Calanus","macroplankton","Other","Plankton"," 104152","Genus"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Calliblepharis","Calliblepharis jubata","Calliblepharis jubata","macroalgae","Macroalgae","Macroalgae"," 145614","Species"
"Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","Calliostoma zizyphinum","Calliostoma zizyphinum","benthos","Macrobenthos","Macrobenthos"," 141767","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Callithamniaceae","Callithamnion","Callithamnion tetragonum","Callithamnion tetragonum","macroalgae","Macroalgae","Macroalgae"," 144529","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Callithamniaceae","Callithamnion","Callithamnion tetricum","Callithamnion tetricum","macroalgae","Macroalgae","Macroalgae"," 144530","Species"
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Calloporidae","Callopora","Callopora lineata","Callopora lineata","macrobenthos","Macrobenthos","Macrobenthos"," 111197","Species"
"Animalia","Cnidaria","Staurozoa","Stauromedusae","Kishinouyeidae","Calvadosia","Calvadosia campanulata","Calvadosia campanulata","macrobenthos","Macrobenthos","Macrobenthos"," 886183","Species"
"Animalia","Cnidaria","Staurozoa","Stauromedusae","Kishinouyeidae","Calvadosia","Calvadosia cruxmelitensis","Calvadosia cruxmelitensis","macrobenthos","Macrobenthos","Macrobenthos"," 886195","Species"
"Animalia","Arthropoda","Hexapoda","Diptera","Canacidae","Canace","Canace nasica","Canace nasica",NA,NA,NA," 151117","Species"
"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer pagurus","Cancer pagurus","megabenthos","Macrobenthos","Macrobenthos"," 107276","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Candelabridae","Candelabrum","Candelabrum cocksii","Candelabrum cocksii",NA,NA,NA," 117417","Species"
"Animalia","Arthropoda","Copepoda","Canuelloida","Canuellidae","Canuella","Canuella perplexa","Canuella perplexa","meiobenthos","Macrobenthos","Macrobenthos"," 115723","Species"
"Animalia","Mollusca","Gastropoda","Nudibranchia","Eubranchidae","Capellinia","Capellinia doriae","Capellinia doriae","benthos","Macrobenthos","Macrobenthos"," 729926","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Caprella acanthifera","Caprella acanthifera","macrobenthos","Macrobenthos","Macrobenthos"," 101822","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Caprella penantis","Caprella penantis","macrobenthos","Macrobenthos","Macrobenthos"," 101846","Species"
"Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Carcinus maenas","macrobenthos","Macrobenthos","Macrobenthos"," 107381","Species"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Caulacanthaceae","Catenella","Catenella caespitosa","Catenella caespitosa","macroalgae","Macroalgae","Macroalgae"," 145605","Species"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Caulacanthaceae","Caulacanthus","Caulacanthus okamurae","Caulacanthus okamurae","macroalgae","Macroalgae","Macroalgae"," 496188","Species"
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Hippothoidae","Celleporella","Celleporella angusta","Celleporella angusta","macrobenthos","Macrobenthos","Macrobenthos"," 111395","Species"
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Hippothoidae","Celleporella","Celleporella hyalina","Celleporella hyalina","macrobenthos","Macrobenthos","Macrobenthos"," 111397","Species"
"Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Centropages hamatus","Centropages hamatus","mesoplankton","Other","Plankton"," 104496","Species"
"Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Centropages typicus","Centropages typicus","mesoplankton","Other","Plankton"," 104499","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium ciliatum","Ceramium ciliatum","macroalgae","Macroalgae","Macroalgae"," 144537","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium echionotum","Ceramium echionotum","macroalgae","Macroalgae","Macroalgae"," 144547","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium pallidum","Ceramium pallidum","macroalgae","Macroalgae","Macroalgae"," 144555","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium secundatum","Ceramium secundatum","macroalgae","Macroalgae","Macroalgae"," 144562","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium shuttleworthianum","Ceramium shuttleworthianum","macroalgae","Macroalgae","Macroalgae"," 144563","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Ceramiaceae","Ceramium","Ceramium virgatum","Ceramium virgatum","macroalgae","Macroalgae","Macroalgae"," 178915","Species"
"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Cerastoderma","Cerastoderma edule","Cerastoderma edule","benthos","Macrobenthos","Macrobenthos"," 138998","Species"
"Animalia","Mollusca","Gastropoda","Caenogastropoda incertae sedis","Cerithiopsidae","Cerithiopsis","Cerithiopsis tubercularis","Cerithiopsis tubercularis","benthos","Macrobenthos","Macrobenthos"," 139085","Species"
"Animalia","Cnidaria","Octocorallia","Malacalcyonacea","Cerveridae","Cervera","Cervera atlantica","Cervera atlantica","megabenthos","Macrobenthos","Macrobenthos"," 125422","Species"
"Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Chaetopterus","Chaetopterus variopedatus","Chaetopterus variopedatus","benthos","Macrobenthos","Macrobenthos"," 129914","Species"
"Plantae","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloroparvula","Chloroparvula pacifica","Chloroparvula pacifica","algae","Other","Plankton","1361158","Species"
"Plantae","Chlorophyta",NA,NA,NA,"Chloropicon","Chloropicon roscoffensis","Chloropicon roscoffensis","algae","Other","Plankton","1361153","Species"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondracanthus","Chondracanthus acicularis","Chondracanthus acicularis","macroalgae","Macroalgae","Macroalgae"," 145623","Species"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus","Chondrus crispus","macroalgae","Macroalgae","Macroalgae"," 145625","Species"
"Chromista","Ochrophyta","Phaeophyceae","Chordales","Chordaceae","Chorda","Chorda filum","Chorda filum","macroalgae","Macroalgae","Macroalgae"," 145722","Species"
"Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Chordaria","Chordaria flagelliformis","Chordaria flagelliformis","macroalgae","Macroalgae","Macroalgae"," 144910","Species"
"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora hysoscella","Chrysaora hysoscella","zooplankton","Other","Plankton"," 135304","Species"
"Animalia","Arthropoda","Thecostraca","Balanomorpha","Chthamalidae","Chthamalus","Chthamalus montagui","Chthamalus montagui","benthos","Macrobenthos","Macrobenthos"," 106230","Species"
"Animalia","Arthropoda","Thecostraca","Balanomorpha","Chthamalidae","Chthamalus","Chthamalus stellatus","Chthamalus stellatus","benthos","Macrobenthos","Macrobenthos"," 106231","Species"
"Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Champiaceae","Chylocladia","Chylocladia verticillata","Chylocladia verticillata","macroalgae","Macroalgae","Macroalgae"," 145808","Species"
"Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirratulus","Cirratulus cirratus","Cirratulus cirratus","benthos","Macrobenthos","Macrobenthos"," 129959","Species"
"Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Cirriformia","Cirriformia tentaculata","Cirriformia tentaculata","benthos","Macrobenthos","Macrobenthos"," 129964","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Cladonema","Cladonema pacificum","Cladonema pacificum",NA,NA,NA," 284446","Species"
"Chromista","Ochrophyta","Phaeophyceae","Sphacelariales","Cladostephaceae","Cladostephus","Cladostephus spongiosus","Cladostephus spongiosus","macroalgae","Macroalgae","Macroalgae"," 145888","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Hydractiniidae","Clava","Clava multicornis","Clava multicornis",NA,NA,NA," 117426","Species"
"Animalia","Porifera","Demospongiae","Clionaida","Clionaidae","Cliona","Cliona","Cliona","macrobenthos","Macrobenthos","Macrobenthos"," 132026","Genus"
"Animalia","Arthropoda","Thecostraca",NA,"Clistosaccidae","Clistosaccus","Clistosaccus paguri","Clistosaccus paguri","macrobenthos","Macrobenthos","Macrobenthos"," 134786","Species"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia hemisphaerica","Clytia hemisphaerica",NA,NA,NA," 117368","Species"
"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia paulensis","Clytia paulensis",NA,NA,NA," 117373","Species"
"Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","Coilodesme","Coilodesme japonica","Coilodesme japonica","macroalgae","Macroalgae","Macroalgae"," 371957","Species"
"Plantae","Rhodophyta","Florideophyceae","Colaconematales","Colaconemataceae","Colaconema","Colaconema daviesii","Colaconema daviesii","macroalgae","Macroalgae","Macroalgae"," 164103","Species"
"Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","Colpomenia","Colpomenia peregrina","Colpomenia peregrina","macroalgae","Macroalgae","Macroalgae"," 145856","Species"
"Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina","Corallina","macroalgae","Macroalgae","Macroalgae"," 144007","Genus"
"Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina officinalis","Corallina officinalis","macroalgae","Macroalgae","Macroalgae"," 145108","Species"
"Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium","Corophium volutator","Corophium volutator","macrobenthos","Macrobenthos","Macrobenthos"," 102101","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corymorphidae","Corymorpha","Corymorpha nutans","Corymorpha nutans",NA,NA,NA," 117452","Species"
"Animalia","Cnidaria","Hexacorallia","Corallimorpharia","Corallimorphidae","Corynactis","Corynactis californica","Corynactis californica","macrobenthos","Macrobenthos","Macrobenthos"," 283836","Species"
"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","Coryne","Coryne pusilla","Coryne pusilla",NA,NA,NA," 117471","Species"
"Animalia","Cnidaria","Staurozoa","Stauromedusae","Craterolophidae","Craterolophus","Craterolophus convolvulus","Craterolophus convolvulus","macrobenthos","Macrobenthos","Macrobenthos"," 135312","Species"
"Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Crisiidae","Crisia","Crisia eburnea","Crisia eburnea","macrobenthos","Macrobenthos","Macrobenthos"," 111696","Species"
"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Crisularia","Crisularia plumosa","Crisularia plumosa","macrobenthos","Macrobenthos","Macrobenthos"," 834039","Species"
"Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Opisthorchiidae","Cryptocotyle","Cryptocotyle lingua","Cryptocotyle lingua",NA,NA,NA," 109051","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Cryptopleura","Cryptopleura ramosa","Cryptopleura ramosa","macroalgae","Macroalgae","Macroalgae"," 144743","Species"
"Animalia","Arthropoda","Ostracoda","Podocopida","Cyprididae","Cypridopsis","Cypridopsis vidua","Cypridopsis vidua","benthos","Macrobenthos","Macrobenthos"," 160026","Species"
"Plantae","Rhodophyta","Florideophyceae","Gigartinales","Cystocloniaceae","Cystoclonium","Cystoclonium purpureum","Cystoclonium purpureum","macroalgae","Macroalgae","Macroalgae"," 145615","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Dasysiphonia","Dasysiphonia japonica","Dasysiphonia japonica","algae","Other","Plankton"," 836896","Species"
"Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Delesseria","Delesseria sanguinea","Delesseria sanguinea","macroalgae","Macroalgae","Macroalgae"," 144744","Species"
